# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
r_0151	EC:4.3.2.2	
r_0152	EC:4.3.2.2	
r_0153	EC:6.3.4.4	
r_0154	EC:2.7.1.25	1654509
r_0155	EC:3.1.4.37	10734185
r_0156	EC:2.6.1.44	
r_0157	EC:6.1.1.7	7761427
r_0158	EC:2.3.1.84	12957907
r_0159	EC:2.3.1.84	12957907
r_0160	EC:2.3.1.84	12957907
r_0161	EC:2.3.1.84	12957907
r_0162	EC:2.3.1.84	12957907
r_0163	EC:1.1.1.1	12702265
r_0164	EC:1.1.1.-; EC: 1.1.1.21	12210903
r_0165	EC:1.1.1.1	12499363
r_0166	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0167	EC:1.1.1.1	12499363
r_0168	EC:1.1.1.-; EC: 1.1.1.2	12210903; 12423374
r_0169	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0170	EC:1.1.1.1	12499363
r_0171	EC:1.1.1.2	11742541; 12423374
r_0172	EC:1.2.1.3	12586697
r_0173	EC:1.2.1.4	15256563
r_0174	EC:1.2.1.5	15256563
r_0175	EC:1.2.1.5	15256563
r_0176	EC:1.2.1.5	
r_0177	EC:1.2.1.4	
r_0178	EC:1.2.1.5	9675847
r_0179	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0180	EC:1.1.1.1	12499363
r_0181	EC:1.1.1.2	11742541; 12423374
r_0182	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0183	EC:1.1.1.1	12499363
r_0184	EC:1.1.1.2	11742541; 12423374
r_0185	EC:1.2.1.3	8801420
r_0186	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0187	EC:1.1.1.1	12499363
r_0188	EC:3.1.3.1; EC: 3.1.3.54; EC: 3.1.7.6	
r_0189	EC:3.5.3.4	4604238
r_0190	EC:3.5.2.5	4604238
r_0191	EC:3.5.1.54; EC: 6.3.4.6	
r_0192	EC:2.4.1.-	14752117; 21623372; 8631921; 9020857
r_0193	EC:3.2.1.28	
r_0194	EC:3.2.1.28	8764988
r_0195	EC:2.4.1.15; EC: 3.1.3.12	21623372
r_0198	EC:3.2.1.10; EC: 3.2.1.20	
r_0199	EC:6.3.5.7	
r_0200		3086094
r_0201	EC:1.2.1.5	
r_0202	EC:2.4.2.18	
r_0203	EC:4.1.3.27	8001582
r_0204	EC:3.6.1.29	
r_0205	EC:1.1.1.-; EC: 1.1.1.21	
r_0206	EC:3.5.3.1	
r_0207	EC:4.3.2.1	
r_0208	EC:6.3.4.5	35347
r_0209	EC:6.1.1.19	
r_0210	EC:6.1.1.19	
r_0211	EC:6.3.5.4	9881155
r_0212	EC:6.1.1.22	9605503
r_0213	EC:6.1.1.22	9605503
r_0214	EC:2.1.3.2; EC: 6.3.5.5	
r_0215	EC:2.7.2.4	9315655
r_0216	EC:2.6.1.1	1859361
r_0217	EC:2.6.1.1	1482685
r_0218	EC:2.6.1.1	9288922
r_0219	EC:1.2.1.11	2570346
r_0220	EC:6.1.1.12	3902099
r_0221	EC:6.1.1.12	2668951
r_0222	EC:2.7.7.5; EC: 2.7.7.53	
r_0223	EC:2.7.7.5; EC: 2.7.7.53	
r_0224	EC:2.7.7.5; EC: 2.7.7.53	
r_0225	EC:2.4.2.17	
r_0226	EC:3.6.3.14	6223276; 10576729
r_0227	EC:3.6.1.5; EC: 3.6.3.6	10409709
r_0228	EC:2.4.1.142	6368538
r_0229	EC:2.8.1.6	
r_0230	EC:6.3.4.-; EC: 6.3.4.10; EC: 6.3.4.11; EC: 6.3.4.15; EC: 6.3.4.9	9688262
r_0231	EC:1.3.1.70	
r_0233	EC:1.14.19.41	
r_0234	EC:1.1.1.170	22194828
r_0235	EC:1.1.1.170	
r_0236	EC:1.1.1.270	
r_0237	EC:1.1.1.270	
r_0238	EC:1.14.13.72	
r_0239	EC:1.14.13.72	
r_0240	EC:1.14.13.72	22194828
r_0241	EC:1.14.13.72	
r_0242	EC:1.14.19.20	
r_0243	EC:5.-.-.-	
r_0244	EC:1.3.1.71	
r_0249	EC:2.5.1.58	1763050
r_0250	EC:2.1.3.2; EC: 6.3.5.5	
r_0252	EC:2.3.1.7	11329169
r_0253	EC:2.3.1.7	
r_0254	EC:2.3.1.7	
r_0255	EC:1.11.1.6	3536508
r_0256	EC:1.11.1.6	9931255
r_0259	EC:1.-.-.-	18296751; 9368039
r_0260	EC:1.-.-.-	18296751; 9368039
r_0261	EC:1.-.-.-	18296751; 9368039
r_0262	EC:1.-.-.-	18296751; 9368039
r_0263	EC:2.3.1.24	11387200; 15692566; 18296751
r_0264	EC:2.3.1.24	11387200; 15692566; 18296751
r_0265	EC:2.3.1.24	11387200; 15692566; 18296751
r_0266	EC:2.3.1.24	11387200; 15692566; 18296751
r_0267	EC:1.-.-.-	18296751; 9368039
r_0268	EC:1.-.-.-	18296751; 9368039
r_0269	EC:1.-.-.-	18296751; 9368039
r_0270	EC:1.-.-.-	18296751; 9368039
r_0271	EC:3.5.1.41	
r_0272	EC:2.4.1.16	16408321
r_0273	EC:2.7.1.32	10329685
r_0274	EC:2.7.7.15	
r_0278	EC:5.4.99.5	3027508
r_0279	EC:4.2.3.5	8971708
r_0280	EC:4.2.1.3	21623372
r_0281	EC:2.5.1.87	12702274
r_0282	EC:2.5.1.87	12702274
r_0283	EC:2.5.1.87	12702274
r_0284	EC:2.5.1.87	12702274
r_0285	EC:2.5.1.87	12702274
r_0286	EC:2.5.1.87	12702274
r_0287	EC:2.5.1.87	12702274
r_0288	EC:2.5.1.87	12702274
r_0289	EC:2.5.1.87	12702274
r_0290	EC:2.5.1.87	12702274
r_0291	EC:2.5.1.87	12702274
r_0292	EC:2.5.1.87	12702274
r_0293	EC:2.5.1.87	12702274
r_0294	EC:2.5.1.87	12702274
r_0295	EC:2.5.1.87	12702274
r_0296	EC:2.5.1.87	12702274
r_0297	EC:2.5.1.87	12702274
r_0298	EC:2.5.1.87	12702274
r_0299	EC:2.5.1.87	12702274
r_0300	EC:2.3.3.1	9140965
r_0301	EC:2.3.3.16	10587442
r_0302	EC:4.2.1.3	21623372
r_0303	EC:4.2.1.3	15975908
r_0304	EC:1.3.3.3	
r_0306	EC:6.3.4.2	
r_0307	EC:6.3.4.2	
r_0308	EC:4.4.1.8	10922376
r_0309	EC:4.2.1.22	10766767
r_0310	EC:4.4.1.1	1577698
r_0311	EC:2.5.1.48	10821189
r_0312	EC:2.5.1.47; EC: 2.5.1.49	21623372; 7765825
r_0313	EC:6.1.1.16	9523015
r_0314	EC:3.5.4.5	
r_0315	EC:2.7.1.48	
r_0317	EC:1.14.13.70; EC: 1.6.2.4	10622712
r_0318	EC:3.5.4.1	
r_0319	EC:1.1.3.37	10508108
r_0320	EC:1.1.1.116	17097644
r_0321	EC:1.1.1.117	
r_0322	EC:4.1.2.13	
r_0323	EC:1.1.1.14	
r_0326	EC:3.5.4.12	
r_0327	EC:3.5.4.12	
r_0328	EC:3.5.4.2	
r_0329	EC:3.5.4.5	
r_0330	EC:2.7.4.8	
r_0331	EC:2.5.1.46	
r_0332	EC:2.7.1.15	
r_0334	EC:2.7.1.24	
r_0335	EC:6.3.3.3	
r_0340	EC:3.5.1.-	10900202; 18296751
r_0341	EC:3.5.1.-	10900202; 18296751
r_0342	EC:3.5.1.-	10900202; 18296751
r_0343	EC:3.5.1.-	10900202; 18296751
r_0344	EC:1.5.1.3	
r_0345	EC:1.5.1.3	
r_0346	EC:6.3.2.12	11731153
r_0347	EC:2.5.1.15; EC: 2.7.6.3; EC: 4.1.2.25	
r_0348	EC:3.6.-.-	
r_0349	EC:3.5.2.3	2897615
r_0350	EC:2.5.1.15; EC: 2.7.6.3; EC: 4.1.2.25	
r_0351	EC:2.5.1.15; EC: 2.7.6.3; EC: 4.1.2.25	
r_0352	EC:4.2.1.9	14576278
r_0353	EC:4.2.1.9	14576278
r_0354	EC:2.7.1.28; EC: 2.7.1.29	
r_0355	EC:2.5.1.1; EC: 2.5.1.10	
r_0356	EC:5.4.2.11	6313356
r_0357	EC:3.6.1.52; EC: 3.6.1.60	10419486
r_0358	EC:2.7.4.21	11956213
r_0359	EC:2.1.1.314	1508200
r_0360	EC:2.7.1.108	
r_0361	EC:2.4.1.83	
r_0362	EC:2.4.1.109	
r_0363	EC:2.7.4.9	
r_0364	EC:3.6.1.23	
r_0365	EC:3.2.1.15	10028181
r_0366	EC:4.2.1.11	7520111
r_0368	EC:2.7.1.32; EC: 2.7.1.82	9506987
r_0369	EC:3.1.-.-	10855721
r_0370	EC:3.2.1.58; EC: 3.2.1.6	8458852
r_0373	EC:2.5.1.-; EC: 2.5.1.1; EC: 2.5.1.10; EC: 2.5.1.29	7665600
r_0399	EC:6.2.1.3	
r_0400	EC:6.2.1.3	
r_0402	EC:6.2.1.3	
r_0410	EC:6.2.1.3	
r_0412	EC:6.2.1.3	
r_0436	EC:4.99.1.1	
r_0437	EC:1.11.1.5	
r_0438	EC:1.9.3.1	21964735
r_0439	EC:1.10.2.2	
r_0440	EC:2.7.7.2	
r_0441	EC:1.5.1.39	15184374
r_0442	EC:1.5.1.39	15184374
r_0443	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	
r_0445	EC:1.2.1.2	
r_0446	EC:1.5.1.5; EC: 3.5.4.9; EC: 6.3.4.3	10871621; 1916088; 8852837
r_0447	EC:1.5.1.5; EC: 3.5.4.9; EC: 6.3.4.3	10871621; 1916088; 8852837
r_0448	EC:3.1.3.46	
r_0449	EC:3.1.3.11	
r_0450	EC:4.1.2.13	8435847
r_0451	EC:4.2.1.2	9627400
r_0452	EC:4.2.1.2	11585823; 20231875
r_0453	EC:1.3.98.1	1409592
r_0454	EC:1.3.1.6	22672422; 8946166; 9587404
r_0455	EC:1.3.1.6	22672422
r_0457	EC:2.3.2.2; EC: 3.4.19.13	
r_0458	EC:2.7.1.6	
r_0459	EC:2.7.7.12	
r_0460	EC:6.3.2.2	
r_0461		15792955
r_0462	EC:2.5.1.1; EC: 2.5.1.10	
r_0463	EC:2.4.1.25; EC: 3.2.1.33	11094287
r_0464	EC:3.2.1.3	11486014
r_0465		369615
r_0466	EC:1.1.1.49	2269430
r_0467	EC:5.3.1.9	8435847
r_0468	EC:2.7.2.11	
r_0469	EC:4.1.1.15	11031268
r_0470	EC:1.4.1.2	14554197
r_0471	EC:1.4.1.4	
r_0472	EC:1.4.1.14	9657994
r_0473	EC:1.2.1.41	
r_0475		3309138
r_0476	EC:6.3.1.2	9611819
r_0477	EC:2.6.1.16	2656689
r_0478	EC:6.1.1.18	2991203
r_0479	EC:6.1.1.17	
r_0480	EC:6.1.1.17	7607232
r_0481	EC:1.8.1.7	
r_0482	EC:1.8.1.7	14672937
r_0483	EC:1.11.1.15; EC: 1.11.1.9	
r_0484		12138088
r_0485	EC:6.3.2.3	
r_0486	EC:1.2.1.12	3905788
r_0487	EC:1.1.1.156	11113971
r_0488	EC:2.7.1.30	
r_0489	EC:3.1.3.21	
r_0490	EC:1.1.5.3	
r_0491	EC:1.1.1.8	8196651
r_0492	EC:1.1.1.8	
r_0497	EC:3.1.4.46	16141200
r_0499	EC:2.1.2.2	
r_0500		3086094
r_0501	EC:1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10	
r_0502	EC:2.1.2.1	8852837
r_0503	EC:2.1.2.1	22672422; 8852837
r_0504	EC:1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10	
r_0505	EC:1.2.4.2; EC: 1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10; EC: 2.3.1.61	
r_0506	EC:1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10	
r_0507	EC:1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10	
r_0508	EC:1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10	
r_0509	EC:1.4.4.2; EC: 1.8.1.4; EC: 2.1.2.10	
r_0510	EC:2.4.1.11; EC: 2.4.1.186	8900126
r_0511	EC:2.4.1.1	
r_0512	EC:6.1.1.14	10874035
r_0514	EC:6.3.5.2	
r_0518	EC:3.5.1.89	10085243
r_0519	EC:2.4.1.-	11102867
r_0520	EC:2.-.-.-	11102867
r_0521	EC:2.4.1.-	15623507
r_0522	EC:2.4.1.-	11102867
r_0523	EC:2.-.-.-	10793139
r_0524	EC:3.5.4.16	
r_0525	EC:3.5.4.25	
r_0526	EC:3.5.4.3	15565584
r_0527	EC:2.4.2.8	
r_0528	EC:2.7.4.8	
r_0529	EC:2.7.4.8	
r_0530	EC:1.18.1.6	11788607
r_0531	EC:2.5.1.-	11788607
r_0532	EC:1.14.13.-; EC: 2.1.1.114; EC: 2.1.1.201; EC: 2.1.1.64; EC: 2.7.-.-	
r_0533	EC:2.7.1.1	
r_0534	EC:2.7.1.1; EC: 2.7.1.2	6394965
r_0535	EC:2.7.1.1	
r_0536	EC:1.1.1.23; EC: 3.5.4.19; EC: 3.6.1.31	
r_0537	EC:3.1.3.15	
r_0538	EC:2.6.1.9	
r_0539	EC:6.1.1.21	1459448
r_0540	EC:6.1.1.21	1459448
r_0541	EC:2.1.1.-	8647869
r_0542	EC:4.2.1.36	2507177
r_0543	EC:2.3.3.14	
r_0544	EC:2.1.1.10	11013242
r_0545	EC:1.1.1.87	10714900
r_0546	EC:1.1.1.3	8500624; 11341914
r_0547	EC:1.1.1.3	8500624
r_0548	EC:2.7.1.39	8973190
r_0549	EC:2.3.1.31	16232856
r_0550	EC:1.11.1.15	15210711
r_0551	EC:1.11.1.15	10821871
r_0552	EC:1.11.1.15	14640681
r_0553	EC:3.1.2.6	
r_0554	EC:3.1.2.6	
r_0555	EC:2.5.1.39	
r_0556	EC:2.5.1.3; EC: 2.7.1.50	
r_0557	EC:2.5.1.61	
r_0558	EC:1.1.1.34	
r_0559	EC:2.3.3.10	
r_0560	EC:2.3.3.10	
r_0561	EC:2.7.1.49; EC: 2.7.4.7	
r_0562	EC:2.4.2.8	
r_0563	EC:2.4.2.-; EC: 4.1.3.-	
r_0564	EC:4.2.1.19	
r_0565	EC:1.1.1.205	11003640
r_0566	EC:4.1.1.48; EC: 4.1.3.27	6323449
r_0567	EC:4.1.1.-; EC: 4.1.1.1; EC: 4.1.1.43; EC: 4.1.1.74	12902239
r_0568	EC:3.6.1.1	8224193
r_0569	EC:3.6.1.1	1648084
r_0570	EC:2.1.2.3; EC: 3.5.4.10	
r_0571	EC:2.7.1.158	10960485
r_0572	EC:2.7.1.151	11956213
r_0573	EC:2.7.1.151	11956213
r_0574	EC:2.7.1.151	11956213
r_0575	EC:2.7.1.151	11956213
r_0596	EC:3.1.4.-	11006294; 18296751
r_0597	EC:3.1.4.-	11006294; 18296751
r_0598	EC:3.1.4.-	11006294; 18296751
r_0599	EC:3.1.4.-	11006294; 18296751
r_0600	EC:3.1.4.-	11006294; 18296751
r_0601	EC:3.1.4.-	11006294; 18296751
r_0602	EC:3.1.4.-	11006294; 18296751
r_0603	EC:3.1.4.-	11006294; 18296751
r_0604	EC:3.1.4.-	11006294; 18296751
r_0605	EC:3.1.4.-	11006294; 18296751
r_0606	EC:3.1.4.-	11006294; 18296751
r_0607	EC:3.1.4.-	11006294; 18296751
r_0608	EC:3.1.4.-	11006294; 18296751
r_0609	EC:3.1.4.-	11006294; 18296751
r_0610	EC:3.1.4.-	11006294; 18296751
r_0611	EC:3.1.4.-	11006294; 18296751
r_0612	EC:3.1.4.-	11006294; 18296751
r_0613	EC:3.1.4.-	11006294; 18296751
r_0614	EC:3.1.4.-	11006294; 18296751
r_0615	EC:3.1.4.-	11006294; 18296751
r_0616	EC:3.1.4.-	17880915; 18296751
r_0617	EC:3.1.4.-	17880915; 18296751
r_0618	EC:3.1.4.-	17880915; 18296751
r_0619	EC:3.1.4.-	17880915; 18296751
r_0620	EC:3.1.4.-	17880915; 18296751
r_0621	EC:3.1.4.-	17880915; 18296751
r_0622	EC:3.1.4.-	17880915; 18296751
r_0623	EC:3.1.4.-	17880915; 18296751
r_0624	EC:3.1.4.-	17880915; 18296751
r_0625	EC:3.1.4.-	17880915; 18296751
r_0626	EC:3.1.4.-	17880915; 18296751
r_0627	EC:3.1.4.-	17880915; 18296751
r_0628	EC:3.1.4.-	17880915; 18296751
r_0629	EC:3.1.4.-	17880915; 18296751
r_0630	EC:3.1.4.-	17880915; 18296751
r_0631	EC:3.1.4.-	17880915; 18296751
r_0632	EC:3.1.4.-	17880915; 18296751
r_0633	EC:3.1.4.-	17880915; 18296751
r_0634	EC:3.1.4.-	17880915; 18296751
r_0635	EC:3.1.4.-	17880915; 18296751
r_0636	EC:3.1.4.-	17880915; 18296751
r_0637	EC:3.1.4.-	17880915; 18296751
r_0638	EC:3.1.4.-	17880915; 18296751
r_0639	EC:3.1.4.-	17880915; 18296751
r_0640	EC:3.1.4.-	17880915; 18296751
r_0641	EC:3.1.4.-	17880915; 18296751
r_0642	EC:3.1.4.-	17880915; 18296751
r_0643	EC:3.1.4.-	17880915; 18296751
r_0644	EC:3.1.4.-	17880915; 18296751
r_0645	EC:3.1.4.-	17880915; 18296751
r_0646	EC:3.1.4.-	11006294; 18296751
r_0647	EC:3.1.4.-	11006294; 18296751
r_0648	EC:3.1.4.-	11006294; 18296751
r_0649	EC:3.1.4.-	11006294; 18296751
r_0650	EC:3.1.4.-	11006294; 18296751
r_0651	EC:3.1.4.-	11006294; 18296751
r_0652	EC:3.1.4.-	11006294; 18296751
r_0653	EC:3.1.4.-	11006294; 18296751
r_0654	EC:3.1.4.-	11006294; 18296751
r_0655	EC:3.1.4.-	11006294; 18296751
r_0656	EC:3.1.-.-	10855721
r_0657	EC:3.1.-.-	10855721
r_0658	EC:1.1.1.41	1644826
r_0659	EC:1.1.1.42	9175438
r_0661	EC:1.1.1.42	9175438
r_0662	EC:4.1.3.1; EC: 4.1.3.30	
r_0663	EC:2.6.1.42	8798704
r_0664	EC:2.6.1.42	8798704
r_0665	EC:6.1.1.5	7619074
r_0666	EC:6.1.1.5	7607232
r_0667	EC:5.3.3.2	
r_0668	EC:6.2.1.5	9874242
r_0669	EC:1.1.1.86	3027658
r_0670	EC:3.7.1.3	12062417
r_0671	EC:1.14.13.9	12062417
r_0672	EC:1.2.1.88	
r_0673	EC:1.2.1.88	
r_0674	EC:2.6.1.2	
r_0675	EC:4.1.2.48	9151955
r_0676	EC:1.1.1.381	12535615
r_0678	EC:1.2.1.31; EC: 1.2.1.95; EC: 2.7.8.7	3928261
r_0679	EC:3.5.1.1	8026756
r_0680	EC:3.5.1.1	3042786
r_0681	EC:2.6.1.1	
