@id	db_name	ext_id	link
s_0020	BiGG	actn__R	https://identifiers.org/bigg.metabolite:actn__R
s_0021	KEGG	C00318	https://identifiers.org/kegg.compound:C00318
s_0021	ChEBI	CHEBI:16347	https://identifiers.org/CHEBI:16347
s_0021	MetaNetX	MNXM173	https://identifiers.org/metanetx.chemical:MNXM173
s_0021	BiGG	crn	https://identifiers.org/bigg.metabolite:crn
s_0022	KEGG	C00318	https://identifiers.org/kegg.compound:C00318
s_0022	ChEBI	CHEBI:16347	https://identifiers.org/CHEBI:16347
s_0022	MetaNetX	MNXM173	https://identifiers.org/metanetx.chemical:MNXM173
s_0022	BiGG	crn	https://identifiers.org/bigg.metabolite:crn
s_0023	KEGG	C00318	https://identifiers.org/kegg.compound:C00318
s_0023	ChEBI	CHEBI:16347	https://identifiers.org/CHEBI:16347
s_0023	MetaNetX	MNXM173	https://identifiers.org/metanetx.chemical:MNXM173
s_0023	BiGG	crn	https://identifiers.org/bigg.metabolite:crn
s_0024	KEGG	C00318	https://identifiers.org/kegg.compound:C00318
s_0024	ChEBI	CHEBI:16347	https://identifiers.org/CHEBI:16347
s_0024	MetaNetX	MNXM173	https://identifiers.org/metanetx.chemical:MNXM173
s_0024	BiGG	crn	https://identifiers.org/bigg.metabolite:crn
s_0025	KEGG	C00256	https://identifiers.org/kegg.compound:C00256
s_0025	ChEBI	CHEBI:16004	https://identifiers.org/CHEBI:16004
s_0025	MetaNetX	MNXM285	https://identifiers.org/metanetx.chemical:MNXM285
s_0025	BiGG	lac__D	https://identifiers.org/bigg.metabolite:lac__D
s_0026	KEGG	C00256	https://identifiers.org/kegg.compound:C00256
s_0026	ChEBI	CHEBI:16004	https://identifiers.org/CHEBI:16004
s_0026	MetaNetX	MNXM285	https://identifiers.org/metanetx.chemical:MNXM285
s_0026	BiGG	lac__D	https://identifiers.org/bigg.metabolite:lac__D
s_0027	KEGG	C00256	https://identifiers.org/kegg.compound:C00256
s_0027	ChEBI	CHEBI:16004	https://identifiers.org/CHEBI:16004
s_0027	MetaNetX	MNXM285	https://identifiers.org/metanetx.chemical:MNXM285
s_0027	BiGG	lac__D	https://identifiers.org/bigg.metabolite:lac__D
s_0028	KEGG	C00418	https://identifiers.org/kegg.compound:C00418
s_0028	ChEBI	CHEBI:36464	https://identifiers.org/CHEBI:36464
s_0028	MetaNetX	MNXM333	https://identifiers.org/metanetx.chemical:MNXM333
s_0028	BiGG	mev__R	https://identifiers.org/bigg.metabolite:mev__R
s_0029	KEGG	C00418	https://identifiers.org/kegg.compound:C00418
s_0029	ChEBI	CHEBI:36464	https://identifiers.org/CHEBI:36464
s_0029	MetaNetX	MNXM333	https://identifiers.org/metanetx.chemical:MNXM333
s_0029	BiGG	mev__R	https://identifiers.org/bigg.metabolite:mev__R
s_0030	KEGG	C00522	https://identifiers.org/kegg.compound:C00522
s_0030	ChEBI	CHEBI:15980	https://identifiers.org/CHEBI:15980
s_0030	MetaNetX	MNXM593	https://identifiers.org/metanetx.chemical:MNXM593
s_0030	BiGG	pant__R	https://identifiers.org/bigg.metabolite:pant__R
s_0031	KEGG	C00864	https://identifiers.org/kegg.compound:C00864
s_0031	ChEBI	CHEBI:29032	https://identifiers.org/CHEBI:29032
s_0031	MetaNetX	MNXM364	https://identifiers.org/metanetx.chemical:MNXM364
s_0031	BiGG	pnto__R	https://identifiers.org/bigg.metabolite:pnto__R
s_0032	KEGG	C00864	https://identifiers.org/kegg.compound:C00864
s_0032	ChEBI	CHEBI:29032	https://identifiers.org/CHEBI:29032
s_0032	MetaNetX	MNXM364	https://identifiers.org/metanetx.chemical:MNXM364
s_0032	BiGG	pnto__R	https://identifiers.org/bigg.metabolite:pnto__R
s_0033	KEGG	C03451	https://identifiers.org/kegg.compound:C03451
s_0033	ChEBI	CHEBI:57474	https://identifiers.org/CHEBI:57474
s_0033	MetaNetX	MNXM1253	https://identifiers.org/metanetx.chemical:MNXM1253
s_0033	BiGG	lgt__S	https://identifiers.org/bigg.metabolite:lgt__S
s_0034	KEGG	C03451	https://identifiers.org/kegg.compound:C03451
