@id	db_name	ext_id	link
r_0033	KEGG	R00191	https://identifiers.org/kegg.reaction:R00191
r_0033	MetaNetX	MNXR95886	https://identifiers.org/metanetx.reaction:MNXR95886
r_0033	BiGG	PDE1	https://identifiers.org/bigg.reaction:PDE1
r_0034	MetaNetX	MNXR136084	https://identifiers.org/metanetx.reaction:MNXR136084
r_0034	BiGG	PDE2	https://identifiers.org/bigg.reaction:PDE2
r_0035	MetaNetX	MNXR136083	https://identifiers.org/metanetx.reaction:MNXR136083
r_0035	BiGG	PDE3	https://identifiers.org/bigg.reaction:PDE3
r_0036	KEGG	R01234	https://identifiers.org/kegg.reaction:R01234
r_0036	MetaNetX	MNXR100078	https://identifiers.org/metanetx.reaction:MNXR100078
r_0036	BiGG	PDE4	https://identifiers.org/bigg.reaction:PDE4
r_0037	MetaNetX	MNXR136082	https://identifiers.org/metanetx.reaction:MNXR136082
r_0037	BiGG	PDE5	https://identifiers.org/bigg.reaction:PDE5
r_0038	KEGG	R07281	https://identifiers.org/kegg.reaction:R07281
r_0038	MetaNetX	MNXR97178	https://identifiers.org/metanetx.reaction:MNXR97178
r_0038	BiGG	DB4PS	https://identifiers.org/bigg.reaction:DB4PS
r_0039	KEGG	R03084	https://identifiers.org/kegg.reaction:R03084
r_0039	MetaNetX	MNXR97449	https://identifiers.org/metanetx.reaction:MNXR97449
r_0039	BiGG	DHQTi	https://identifiers.org/bigg.reaction:DHQTi
r_0040	KEGG	R03083	https://identifiers.org/kegg.reaction:R03083
r_0040	MetaNetX	MNXR97447	https://identifiers.org/metanetx.reaction:MNXR97447
r_0040	BiGG	DHQS	https://identifiers.org/bigg.reaction:DHQS
r_0041	KEGG	R02978	https://identifiers.org/kegg.reaction:R02978
r_0041	MetaNetX	MNXR94866	https://identifiers.org/metanetx.reaction:MNXR94866
r_0042	KEGG	R01826	https://identifiers.org/kegg.reaction:R01826
r_0042	MetaNetX	MNXR97218	https://identifiers.org/metanetx.reaction:MNXR97218
r_0042	BiGG	DDPA	https://identifiers.org/bigg.reaction:DDPA
r_0043	KEGG	R06865	https://identifiers.org/kegg.reaction:R06865
r_0043	MetaNetX	MNXR110601	https://identifiers.org/metanetx.reaction:MNXR110601
r_0043	BiGG	3OPHB5Hm	https://identifiers.org/bigg.reaction:3OPHB5Hm
r_0044	KEGG	R06866	https://identifiers.org/kegg.reaction:R06866
r_0044	MetaNetX	MNXR94901	https://identifiers.org/metanetx.reaction:MNXR94901
r_0045	KEGG	R02668	https://identifiers.org/kegg.reaction:R02668
r_0045	MetaNetX	MNXR100656	https://identifiers.org/metanetx.reaction:MNXR100656
r_0045	BiGG	HKYNH	https://identifiers.org/bigg.reaction:HKYNH
r_0057	KEGG	R04739	https://identifiers.org/kegg.reaction:R04739
r_0057	MetaNetX	MNXR100547	https://identifiers.org/metanetx.reaction:MNXR100547
r_0057	BiGG	HACD6p	https://identifiers.org/bigg.reaction:HACD6p
r_0058	KEGG	R02665	https://identifiers.org/kegg.reaction:R02665
r_0058	MetaNetX	MNXR94889	https://identifiers.org/metanetx.reaction:MNXR94889
r_0058	BiGG	3HAO	https://identifiers.org/bigg.reaction:3HAO
r_0060	KEGG	R04001	https://identifiers.org/kegg.reaction:R04001
r_0060	MetaNetX	MNXR100827	https://identifiers.org/metanetx.reaction:MNXR100827
r_0060	BiGG	IPPMIa	https://identifiers.org/bigg.reaction:IPPMIa
r_0061	KEGG	R04426	https://identifiers.org/kegg.reaction:R04426
r_0061	MetaNetX	MNXR100878	https://identifiers.org/metanetx.reaction:MNXR100878
r_0061	BiGG	IPMD	https://identifiers.org/bigg.reaction:IPMD
r_0062	MetaNetX	MNXR94922	https://identifiers.org/metanetx.reaction:MNXR94922
r_0062	BiGG	3MOBDC	https://identifiers.org/bigg.reaction:3MOBDC
r_0063	KEGG	R01226	https://identifiers.org/kegg.reaction:R01226
r_0063	MetaNetX	MNXR101702	https://identifiers.org/metanetx.reaction:MNXR101702
r_0063	BiGG	MTMOHT	https://identifiers.org/bigg.reaction:MTMOHT
r_0064	KEGG	R03894	https://identifiers.org/kegg.reaction:R03894
r_0064	MetaNetX	MNXR94925	https://identifiers.org/metanetx.reaction:MNXR94925
r_0064	BiGG	3MOPDC	https://identifiers.org/bigg.reaction:3MOPDC
r_0065	KEGG	R03460	https://identifiers.org/kegg.reaction:R03460
r_0065	MetaNetX	MNXR103226	https://identifiers.org/metanetx.reaction:MNXR103226
r_0065	BiGG	PSCVT	https://identifiers.org/bigg.reaction:PSCVT
r_0066	KEGG	R01716	https://identifiers.org/kegg.reaction:R01716
r_0066	MetaNetX	MNXR95440	https://identifiers.org/metanetx.reaction:MNXR95440
r_0066	BiGG	ADCS	https://identifiers.org/bigg.reaction:ADCS
r_0067	KEGG	R05553	https://identifiers.org/kegg.reaction:R05553
r_0067	MetaNetX	MNXR95436	https://identifiers.org/metanetx.reaction:MNXR95436
r_0067	BiGG	ADCL	https://identifiers.org/bigg.reaction:ADCL
r_0068	KEGG	R01648	https://identifiers.org/kegg.reaction:R01648
r_0068	MetaNetX	MNXR95186	https://identifiers.org/metanetx.reaction:MNXR95186
r_0068	BiGG	ABTA	https://identifiers.org/bigg.reaction:ABTA
r_0069	KEGG	R05086	https://identifiers.org/kegg.reaction:R05086
r_0069	MetaNetX	MNXR95024	https://identifiers.org/metanetx.reaction:MNXR95024
r_0069	BiGG	4HTHRS	https://identifiers.org/bigg.reaction:4HTHRS
r_0070	KEGG	R01301	https://identifiers.org/kegg.reaction:R01301
r_0070	MetaNetX	MNXR95011	https://identifiers.org/metanetx.reaction:MNXR95011
r_0070	BiGG	4HBZFm	https://identifiers.org/bigg.reaction:4HBZFm
r_0072	MetaNetX	MNXR137950	https://identifiers.org/metanetx.reaction:MNXR137950
