@id	db_name	ext_id	link
HMR_4355	MetaNetX	MNXR99461	https://identifiers.org/metanetx.reaction:MNXR99461
HMR_4355	HMR 2.0	HMR_4355	
HMR_4355	Ratcon	RCR14182	
HMR_4358	KEGG	R00200	https://identifiers.org/kegg.reaction:R00200
HMR_4358	BiGG	PYK	https://identifiers.org/bigg.reaction:PYK
HMR_4358	EHMN	R00200C	
HMR_4358	HepatoNET1	r0054	
HMR_4358	Recon3D	PYK	https://identifiers.org/vmhreaction:PYK
HMR_4358	MetaNetX	MNXR103371	https://identifiers.org/metanetx.reaction:MNXR103371
HMR_4358	HMR 2.0	HMR_4358	
HMR_4358	Ratcon	RCR10276	
HMR_4360	KEGG	R00205	https://identifiers.org/kegg.reaction:R00205
HMR_4360	HepatoNET1	r0055	
HMR_4360	Recon3D	r0055	https://identifiers.org/vmhreaction:r0055
HMR_4360	MetaNetX	MNXR95787	https://identifiers.org/metanetx.reaction:MNXR95787
HMR_4360	HMR 2.0	HMR_4360	
HMR_4360	Ratcon	RCR11024	
HMR_4362	KEGG	R00199	https://identifiers.org/kegg.reaction:R00199
HMR_4362	MetaNetX	MNXR103140	https://identifiers.org/metanetx.reaction:MNXR103140
HMR_4362	HMR 2.0	HMR_4362	
HMR_4362	Ratcon	RCR10442	
HMR_4363	KEGG	R00658	https://identifiers.org/kegg.reaction:R00658
HMR_4363	BiGG	ENO	https://identifiers.org/bigg.reaction:ENO
HMR_4363	EHMN	R00658C	
HMR_4363	HepatoNET1	r0164	
HMR_4363	Recon3D	ENO	https://identifiers.org/vmhreaction:ENO
HMR_4363	MetaNetX	MNXR97932	https://identifiers.org/metanetx.reaction:MNXR97932
HMR_4363	HMR 2.0	HMR_4363	
HMR_4363	Ratcon	RCR10443	
HMR_4365	KEGG	R01518	https://identifiers.org/kegg.reaction:R01518
HMR_4365	BiGG	PGM	https://identifiers.org/bigg.reaction:PGM
HMR_4365	EHMN	R01518C	
HMR_4365	HepatoNET1	r0341	
HMR_4365	Recon3D	PGM	https://identifiers.org/vmhreaction:PGM
HMR_4365	MetaNetX	MNXR102547	https://identifiers.org/metanetx.reaction:MNXR102547
HMR_4365	HMR 2.0	HMR_4365	
HMR_4365	Ratcon	RCR10444	
HMR_4368	KEGG	R01512	https://identifiers.org/kegg.reaction:R01512
HMR_4368	BiGG	PGK	https://identifiers.org/bigg.reaction:PGK
HMR_4368	EHMN	R01512C	
HMR_4368	HepatoNET1	r0337	
HMR_4368	Recon3D	PGK	https://identifiers.org/vmhreaction:PGK
HMR_4368	MetaNetX	MNXR102538	https://identifiers.org/metanetx.reaction:MNXR102538
HMR_4368	HMR 2.0	HMR_4368	
HMR_4368	Ratcon	RCR10230	
HMR_4370	KEGG	R01515	https://identifiers.org/kegg.reaction:R01515
HMR_4370	BiGG	ACYP	https://identifiers.org/bigg.reaction:ACYP
HMR_4370	Recon3D	ACYP	https://identifiers.org/vmhreaction:ACYP
HMR_4370	MetaNetX	MNXR95410	https://identifiers.org/metanetx.reaction:MNXR95410
HMR_4370	HMR 2.0	HMR_4370	
HMR_4370	Ratcon	RCR10445	
HMR_4371	KEGG	R01662	https://identifiers.org/kegg.reaction:R01662
HMR_4371	Recon3D	DPGM	https://identifiers.org/vmhreaction:DPGM
HMR_4371	MetaNetX	MNXR107112	https://identifiers.org/metanetx.reaction:MNXR107112
HMR_4371	HMR 2.0	HMR_4371	
HMR_4371	Ratcon	RCR11025	
HMR_4372	KEGG	R01516	https://identifiers.org/kegg.reaction:R01516
HMR_4372	Recon3D	DPGase	https://identifiers.org/vmhreaction:DPGase
HMR_4372	MetaNetX	MNXR107035	https://identifiers.org/metanetx.reaction:MNXR107035
HMR_4372	HMR 2.0	HMR_4372	
HMR_4372	Ratcon	RCR11026	
HMR_4373	KEGG	R01061	https://identifiers.org/kegg.reaction:R01061
HMR_4373	BiGG	GAPD	https://identifiers.org/bigg.reaction:GAPD
HMR_4373	EHMN	R01061C	
HMR_4373	HepatoNET1	r0253	
HMR_4373	Recon3D	GAPD	https://identifiers.org/vmhreaction:GAPD
HMR_4373	MetaNetX	MNXR100040	https://identifiers.org/metanetx.reaction:MNXR100040
HMR_4373	HMR 2.0	HMR_4373	
HMR_4373	Ratcon	RCR11027	
HMR_4375	KEGG	R01068	https://identifiers.org/kegg.reaction:R01068
HMR_4375	BiGG	FBA	https://identifiers.org/bigg.reaction:FBA
HMR_4375	HepatoNET1	r0256	
HMR_4375	Recon3D	FBA	https://identifiers.org/vmhreaction:FBA
HMR_4375	MetaNetX	MNXR99459	https://identifiers.org/metanetx.reaction:MNXR99459
HMR_4375	HMR 2.0	HMR_4375	
HMR_4375	Ratcon	RCR14183	
HMR_4377	KEGG	R00762	https://identifiers.org/kegg.reaction:R00762
HMR_4377	BiGG	FBP	https://identifiers.org/bigg.reaction:FBP
HMR_4377	EHMN	R00762C	
HMR_4377	HepatoNET1	r0487	
HMR_4377	Recon3D	FBP	https://identifiers.org/vmhreaction:FBP
HMR_4377	MetaNetX	MNXR106670	https://identifiers.org/metanetx.reaction:MNXR106670
HMR_4377	MetaNetX	MNXR99465	https://identifiers.org/metanetx.reaction:MNXR99465
HMR_4377	HMR 2.0	HMR_4377	
HMR_4377	Ratcon	RCR14184	
HMR_4381	KEGG	R00771	https://identifiers.org/kegg.reaction:R00771
HMR_4381	BiGG	PGI	https://identifiers.org/bigg.reaction:PGI
HMR_4381	HepatoNET1	r0192	
HMR_4381	Recon3D	PGI	https://identifiers.org/vmhreaction:PGI
HMR_4381	MetaNetX	MNXR102535	https://identifiers.org/metanetx.reaction:MNXR102535
HMR_4381	MetaNetX	MNXR106678	https://identifiers.org/metanetx.reaction:MNXR106678
HMR_4381	HMR 2.0	HMR_4381	
HMR_4381	Ratcon	RCR14185	
HMR_4391	KEGG	R01015	https://identifiers.org/kegg.reaction:R01015
HMR_4391	BiGG	TPI	https://identifiers.org/bigg.reaction:TPI
HMR_4391	EHMN	R01015C	
HMR_4391	HepatoNET1	r0243	
HMR_4391	Recon3D	TPI	https://identifiers.org/vmhreaction:TPI
HMR_4391	MetaNetX	MNXR104918	https://identifiers.org/metanetx.reaction:MNXR104918
HMR_4391	HMR 2.0	HMR_4391	
HMR_4391	Ratcon	RCR14186	
HMR_4394	KEGG	R00299	https://identifiers.org/kegg.reaction:R00299
HMR_4394	BiGG	HEX1	https://identifiers.org/bigg.reaction:HEX1
HMR_4394	HepatoNET1	r0353	
