@id	db_name	ext_id	link
ENSG00000004779	Protein Atlas	ENSG00000004779	https://identifiers.org/hpa:ENSG00000004779
ENSG00000004779	UniProt	O14561	https://identifiers.org/uniprot:O14561
ENSG00000004779	NCBI Gene	4706	https://identifiers.org/ncbigene:4706
ENSG00000004799	Ensembl	ENSG00000004799	https://identifiers.org/ensembl:ENSG00000004799
ENSG00000004799	Protein Atlas	ENSG00000004799	https://identifiers.org/hpa:ENSG00000004799
ENSG00000004799	UniProt	Q16654	https://identifiers.org/uniprot:Q16654
ENSG00000004799	NCBI Gene	5166	https://identifiers.org/ncbigene:5166
ENSG00000004809	Ensembl	ENSG00000004809	https://identifiers.org/ensembl:ENSG00000004809
ENSG00000004809	Protein Atlas	ENSG00000004809	https://identifiers.org/hpa:ENSG00000004809
ENSG00000004809	UniProt	Q86VW1	https://identifiers.org/uniprot:Q86VW1
ENSG00000004809	NCBI Gene	85413	https://identifiers.org/ncbigene:85413
ENSG00000004864	Ensembl	ENSG00000004864	https://identifiers.org/ensembl:ENSG00000004864
ENSG00000004864	Protein Atlas	ENSG00000004864	https://identifiers.org/hpa:ENSG00000004864
ENSG00000004864	UniProt	Q9UJS0	https://identifiers.org/uniprot:Q9UJS0
ENSG00000004864	NCBI Gene	10165	https://identifiers.org/ncbigene:10165
ENSG00000004939	Ensembl	ENSG00000004939	https://identifiers.org/ensembl:ENSG00000004939
ENSG00000004939	Protein Atlas	ENSG00000004939	https://identifiers.org/hpa:ENSG00000004939
ENSG00000004939	UniProt	P02730	https://identifiers.org/uniprot:P02730
ENSG00000004939	NCBI Gene	6521	https://identifiers.org/ncbigene:6521
ENSG00000004961	Ensembl	ENSG00000004961	https://identifiers.org/ensembl:ENSG00000004961
ENSG00000004961	Protein Atlas	ENSG00000004961	https://identifiers.org/hpa:ENSG00000004961
ENSG00000004961	UniProt	P53701	https://identifiers.org/uniprot:P53701
ENSG00000004961	NCBI Gene	3052	https://identifiers.org/ncbigene:3052
ENSG00000005022	Ensembl	ENSG00000005022	https://identifiers.org/ensembl:ENSG00000005022
ENSG00000005022	Protein Atlas	ENSG00000005022	https://identifiers.org/hpa:ENSG00000005022
ENSG00000005022	UniProt	P05141	https://identifiers.org/uniprot:P05141
ENSG00000005022	NCBI Gene	292	https://identifiers.org/ncbigene:292
ENSG00000005075	Ensembl	ENSG00000005075	https://identifiers.org/ensembl:ENSG00000005075
ENSG00000005075	Protein Atlas	ENSG00000005075	https://identifiers.org/hpa:ENSG00000005075
ENSG00000005075	UniProt	P52435	https://identifiers.org/uniprot:P52435
ENSG00000005075	NCBI Gene	5439	https://identifiers.org/ncbigene:5439
ENSG00000005187	Ensembl	ENSG00000005187	https://identifiers.org/ensembl:ENSG00000005187
ENSG00000005187	Protein Atlas	ENSG00000005187	https://identifiers.org/hpa:ENSG00000005187
ENSG00000005187	UniProt	Q53FZ2	https://identifiers.org/uniprot:Q53FZ2
ENSG00000005187	NCBI Gene	6296	https://identifiers.org/ncbigene:6296
ENSG00000005249	Ensembl	ENSG00000005249	https://identifiers.org/ensembl:ENSG00000005249
ENSG00000005249	Protein Atlas	ENSG00000005249	https://identifiers.org/hpa:ENSG00000005249
ENSG00000005249	UniProt	P31323	https://identifiers.org/uniprot:P31323
ENSG00000005249	NCBI Gene	5577	https://identifiers.org/ncbigene:5577
ENSG00000005339	Ensembl	ENSG00000005339	https://identifiers.org/ensembl:ENSG00000005339
ENSG00000005339	Protein Atlas	ENSG00000005339	https://identifiers.org/hpa:ENSG00000005339
ENSG00000005339	UniProt	Q92793	https://identifiers.org/uniprot:Q92793
ENSG00000005339	NCBI Gene	1387	https://identifiers.org/ncbigene:1387
ENSG00000005381	Ensembl	ENSG00000005381	https://identifiers.org/ensembl:ENSG00000005381
ENSG00000005381	Protein Atlas	ENSG00000005381	https://identifiers.org/hpa:ENSG00000005381
ENSG00000005381	UniProt	P05164	https://identifiers.org/uniprot:P05164
ENSG00000005381	NCBI Gene	4353	https://identifiers.org/ncbigene:4353
ENSG00000005421	Ensembl	ENSG00000005421	https://identifiers.org/ensembl:ENSG00000005421
ENSG00000005421	Protein Atlas	ENSG00000005421	https://identifiers.org/hpa:ENSG00000005421
ENSG00000005421	UniProt	P27169	https://identifiers.org/uniprot:P27169
ENSG00000005421	NCBI Gene	5444	https://identifiers.org/ncbigene:5444
ENSG00000005469	Ensembl	ENSG00000005469	https://identifiers.org/ensembl:ENSG00000005469
ENSG00000005469	Protein Atlas	ENSG00000005469	https://identifiers.org/hpa:ENSG00000005469
ENSG00000005469	UniProt	Q9UKG9	https://identifiers.org/uniprot:Q9UKG9
ENSG00000005469	NCBI Gene	54677	https://identifiers.org/ncbigene:54677
ENSG00000005471	Ensembl	ENSG00000005471	https://identifiers.org/ensembl:ENSG00000005471
ENSG00000005471	Protein Atlas	ENSG00000005471	https://identifiers.org/hpa:ENSG00000005471
ENSG00000005471	UniProt	P21439	https://identifiers.org/uniprot:P21439
ENSG00000005471	NCBI Gene	5244	https://identifiers.org/ncbigene:5244
ENSG00000005483	Ensembl	ENSG00000005483	https://identifiers.org/ensembl:ENSG00000005483
ENSG00000005483	Protein Atlas	ENSG00000005483	https://identifiers.org/hpa:ENSG00000005483
ENSG00000005483	UniProt	Q8IZD2	https://identifiers.org/uniprot:Q8IZD2
ENSG00000005483	NCBI Gene	55904	https://identifiers.org/ncbigene:55904
ENSG00000005810	Ensembl	ENSG00000005810	https://identifiers.org/ensembl:ENSG00000005810
ENSG00000005810	Protein Atlas	ENSG00000005810	https://identifiers.org/hpa:ENSG00000005810
ENSG00000005810	UniProt	O75592	https://identifiers.org/uniprot:O75592
ENSG00000005810	NCBI Gene	23077	https://identifiers.org/ncbigene:23077
ENSG00000005882	Ensembl	ENSG00000005882	https://identifiers.org/ensembl:ENSG00000005882
ENSG00000005882	Protein Atlas	ENSG00000005882	https://identifiers.org/hpa:ENSG00000005882
ENSG00000005882	UniProt	Q15119	https://identifiers.org/uniprot:Q15119
