# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
HMR_4386	EC:2.7.7.22; EC:2.7.7.13	13876695
HMR_4387	EC:2.7.7.13	10025667; 8549746; 9451026
HMR_4399	EC:4.2.1.47	9893952
HMR_4400	EC:1.1.1.271	10410995; 2428310; 9603974
HMR_4401	EC:2.7.7.30	5646162; 6251080
HMR_4402	EC:2.7.1.52	12056818; 12413479
HMR_4403	EC:5.3.1.25	457669; 5050937
HMR_4490	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4706	EC:3.1.3.46; EC:3.1.3.11	11245921; 12379646; 15170386; 15581487; 16316985; 2837207
HMR_8768	EC:1.1.1.271	
HMR_4590	EC:1.1.1.10	28341; 4397414; 6821187
HMR_4591	EC:1.1.1.15	13373783
HMR_4592	EC:1.1.1.21	
HMR_4593	EC:1.1.1.9	
HMR_4594	EC:1.1.1.179	
HMR_4595	EC:2.7.1.17	
HMR_8341	EC:1.1.1.21; EC:1.1.1.2	
HMR_8342		
HMR_8344		
HMR_8352		
HMR_8353		
HMR_8726		
HMR_8727	EC:2.4.1.117	
HMR_8728		
HMR_8729	EC:4.1.1.35	
HMR_6537	EC:1.1.1.2	1748675
HMR_1568	EC:1.2.1.4; EC:1.2.1.5	11790142; 2060039; 2549038; 4387261; 8155713; 8328987
HMR_3853	EC:4.4.1.5	
HMR_3854	EC:1.1.1.21	
HMR_3855	EC:1.1.1.21	
HMR_3857	EC:3.1.2.6	
HMR_3859	EC:1.1.2.4	
HMR_4087	EC:1.1.1.38; EC:1.1.1.39	15989682; 16171388; 4407365; 4778267; 7757881; 8106447
HMR_4089	EC:1.1.1.38; EC:1.1.1.40	15989682; 16171388; 1935931; 4407365; 4778267; 7757881; 8106447
HMR_4091	EC:1.1.1.38; EC:1.1.1.40	15989682; 16171388; 1935931; 4407365; 4778267; 7757881; 8106447
HMR_4093	EC:3.1.2.1	11322891; 12545200; 16951743; 34392; 6151837; 7696329
HMR_4095	EC:3.1.2.1	11322891; 12545200; 16951743; 34392; 6151837; 7696329
HMR_4101	EC:4.1.1.32	11851336; 14505680; 728402; 8325643; 8645161
HMR_4103	EC:4.1.1.32	11851336; 14505680; 728402; 8325643; 8645161
HMR_4143	EC:6.4.1.1	12437512; 7918683
HMR_4193	EC:2.7.1.40	1009117; 7154942
HMR_8497	EC:1.1.1.21; EC:1.1.1.2	
HMR_8498		
HMR_8499		
HMR_8500	EC:1.1.1.21; EC:1.1.1.2	
HMR_8501	EC:1.1.1.79; EC:1.1.1.81	
HMR_8502	EC:1.1.1.1	
HMR_8503	EC:1.2.1.4; EC:1.2.1.5	
HMR_8504	EC:1.2.1.3	
HMR_8506	EC:1.2.1.3	
HMR_8507		
HMR_8508		
HMR_8509	EC:1.1.1.21; EC:1.1.1.2	
HMR_8511	EC:3.1.2.6	
HMR_8512	EC:1.1.2.4	
HMR_8514	EC:1.1.2.4	
HMR_8516		
HMR_8517	EC:4.2.3.3	
HMR_4280	EC:1.1.1.27	12042361; 17045662; 7449128; 9927705; 18253497
HMR_0153	EC:6.2.1.17; EC:6.2.1.1; EC:3.1.2.2	11013297; 11013297; 10843999; 11150295; 1924964; 2009071; 7341659
HMR_3212	EC:1.3.99.3	
HMR_3797	EC:6.2.1.17	10843999; 11150295; 1924964; 2009071; 7341659
HMR_3800	EC:1.2.7.2	2649080; 283398; 3718468; 9381974
HMR_4105	EC:4.1.1.9	101148; 10455107; 15003260; 4180063; 4731972; 5578610; 9869665
HMR_4106	EC:4.1.1.9	101148; 10455107; 15003260; 4180063; 4731972; 5578610; 9869665
HMR_4107	EC:4.1.1.9	101148; 10455107; 15003260; 4180063; 4731972; 5578610; 9869665
HMR_4282	EC:1.2.1.18; EC:1.2.1.27	10989432; 1527093; 2768248; 4285894
HMR_4331	EC:6.2.1.17; EC:6.2.1.1	10843999; 1924964; 2009071; 2884217; 7341659
HMR_4459	EC:6.2.1.1; EC:6.2.1.17	10843999; 1924964; 2009071; 2884217; 7341659
HMR_4460	EC:6.2.1.1; EC:6.2.1.17	10843999; 1924964; 2009071; 2884217; 7341659
HMR_4464	EC:4.1.1.4	4076528; 4624981; 963888
HMR_4497	EC:1.1.1.59	13672942
HMR_4741	EC:3.1.2.4	10989434; 8188708; 8824301
HMR_8078		
HMR_9803		
HMR_9804	EC:1.1.1.-	
HMR_0718	EC:1.1.99.2	
HMR_0719	EC:1.1.1.95	
HMR_1434	EC:2.3.1.9	10064897; 10806397; 1121274; 11330060; 15733928; 1679347; 16927236; 17236799; 1735445; 1979337; 3194209; 6131897; 6378901; 7911016; 8241273
HMR_1436	EC:6.2.1.16	4073493
HMR_3163	EC:1.3.99.3	13295225; 3597357
HMR_4461	EC:1.1.1.30	1639787; 3355176; 3705199; 475768; 719045; 7686368; 8608144; 8679568
