@id	pmid	ec
r1324	17466261	EC:6.2.1.3
r1325	17466261	EC:6.2.1.3
r1326	17466261	EC:6.2.1.3
r1327	17466261	EC:6.2.1.3
r1328	17466261	EC:6.2.1.3
r1329	17466261	EC:6.2.1.3
r1330	17466261	EC:6.2.1.3
r1331	17466261	
r1364	11023036; 12739169; 12856180; 12883891; 1554704; 18021224; 4553030; 793184; 8725559; 8781017	
r1367	11023036; 12739169; 12856180; 12883891; 1554704; 18021224; 4553030; 793184; 8725559; 8781017	
r1380	12162789; 9291139; 9638657	EC:1.3.1.72
r1381	12133002; 4475632; 5810070	EC:5.3.3.5
r1386	10348987; 14725335	EC:3.5.4.15
r1400	12133002; 4475632; 5810070	
r1411	12133002; 4475632; 5810070	EC:3.2.1.23
r1421	10938543; 11493685; 12713833; 12747791; 14640555; 17259996; 17504134; 17826101; 7011879; 7672338	EC:4.2.1.1
r1423	10938543; 11493685; 12713833; 12747791; 14640555; 17259996; 17504134; 17826101; 7011879; 7672338	EC:4.2.1.1
r1431	5553404; 5671058	EC:1.17.4.1
r1432	5553404; 5671058	EC:1.17.4.1
r1433	5553404; 5671058	EC:1.8.1.9
r1441	12930836; 16288981; 911815	EC:3.4.19.9
r1446	17603022; 1774065; 3597357; 6240978; 7876265	EC:1.3.3.6
r1447	17603022; 1774065; 3597357; 6240978; 7876265	EC:1.3.3.6
r1448	17603022; 1774065; 3597357; 6240978; 7876265	EC:1.3.3.6
r1449	17603022; 1774065; 3597357; 6240978; 7876265	EC:1.3.3.6
r1450	17603022; 1774065; 3597357; 6240978; 7876265	EC:1.3.3.6
r1451	17603022; 1774065; 3597357; 6240978; 7876265	EC:1.3.3.6
r1453	18506409	EC:2.3.1.21
r1466		EC:2.3.1.86
r1467		EC:2.3.1.86
r1468		EC:2.3.1.86
r1479		EC:2.3.1.86
r1481		EC:2.3.1.86
r1493	15845416	EC:1.8.1.9
r1495	11076396; 11819755; 17404808; 6384004	
r1526	16858612	EC:1.3.1.27
r1527	16858612	EC:1.3.1.27
r1540	12719981	EC:2.3.1.86
r2157	11076394; 11076396; 14579113	
r2158	11076394; 11076396; 14579113	
r2159	11076394; 11076396; 14579113	
r2236	11076396; 14579113	
r2237	11076396; 14579113	
r2238	11076396; 14579113	
r2315	11076394; 11076396; 14579113	
r2346	11023036; 12739169; 12856180; 12883891; 1554704; 18021224; 4553030; 793184; 8725559; 8781017	
r2373	14598172; 16919238; 17173541; 18406340; 8132483	
r2374	14598172; 16919238; 17173541; 18406340; 8132483	
r2375	14598172; 16919238; 17173541; 18406340; 8132483	
r2376	14598172; 16919238; 17173541; 18406340; 8132483	
r2377	14598172; 16919238; 17173541; 18406340; 8132483	
r2378	14598172; 16919238; 17173541; 18406340; 8132483	
r2379	14598172; 16919238; 17173541; 18406340; 8132483	
r2380	14598172; 16919238; 17173541; 18406340; 8132483	
r2497	18619829	
r2498	18619829	
r2507	17466261	
r2508	17466261	
r2509	17466261	
r2510	17466261	
r2511	17466261	
r2512	17466261	
r2513	17466261	
r2514	17466261	
r2515	17466261	
r2537	10049700; 10574970; 11389679; 11557028; 11564694; 12824232; 12930836; 14574404; 16288981; 911815	
r2538	10049700; 10574970; 11389679; 11557028; 11564694; 12824232; 12930836; 14574404; 16288981; 911815	
RE0066M	12431977	EC:2.1.1.17
RE0066R	12431977	EC:2.1.1.17
RE0344M	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0344X	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0456M	6997299; 8483833	EC:1.17.4.1
RE0512C	7846063	EC:1.1.1.35
RE0569E	10479480	
RE0572N	10479480	
RE0573N	10479480	
RE0577M	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0577X	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0578M	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0578X	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0579M	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0579X	10092594; 10578051; 16103133; 16940157; 9153233	EC:3.1.2.2
RE0580L	10479480	EC:3.1.2.2
RE0580R	10479480	EC:3.1.2.2
RE0581R	10479480	EC:2.7.4.9
RE0582N	10479480	EC:2.7.4.9
RE0583N	10479480	EC:2.7.4.6
RE0691C	10047787; 7040832	
RE0702E	11013238; 9665099	EC:1.8.1.4
RE0702L	11013238; 9665099	EC:1.8.1.4
RE0702M	11013238; 9665099	EC:1.8.1.4
RE0702N	11013238; 9665099	EC:1.8.1.4
RE0908G	11861502; 2765556; 3988241; 7263841; 8767510	EC:3.1.6.2
RE0908R	11861502; 2765556; 3988241; 7263841; 8767510	EC:3.1.6.2
RE0916G	11861502; 2765556; 3988241; 7263841; 8767510	EC:3.1.6.2
RE0916R	11861502; 2765556; 3988241; 7263841; 8767510	EC:3.1.6.2
RE0918G	11861502; 2765556; 3988241; 7263841; 8767510	EC:3.1.6.2
RE0918R	11861502; 2765556; 3988241; 7263841; 8767510	EC:3.1.6.2
RE0924C	3090812; 7364927; 8070342; 9633995	EC:2.4.1.17
RE0924R	3090812; 7364927; 8070342; 9633995	EC:2.4.1.17
RE0925C	2229315; 8070342; 9633995	EC:2.4.1.17
RE0925R	2229315; 8070342; 9633995	EC:2.4.1.17
RE0927C	2229315; 8070342; 9633995	EC:2.4.1.17
RE0927R	2229315; 8070342; 9633995	EC:2.4.1.17
RE0928C	2627761; 7410532; 8070342; 9633995	EC:2.4.1.17
RE0928R	2627761; 7410532; 8070342; 9633995	EC:2.4.1.17
RE0936E	10969042; 11815627	
RE0937E	10969042; 11815627	EC:3.1.6.2
RE0938E	10969042; 11384769; 11815627	
RE1050C	11013238	EC:1.11.1.7
RE1050E	11013238	EC:1.11.1.7
RE1050L	11013238	EC:1.11.1.7
RE1050N	11013238	EC:1.11.1.7
RE1062M	11284698; 8869556; 9257187	EC:3.4.24.16
RE1064C	11284698; 8373360	EC:3.4.24.15
RE1096M	10049998; 7578007	EC:2.4.1.17
RE1099G	10049998; 1606923	EC:3.1.6.2
RE1099L	10049998; 1606923	EC:3.1.6.2
RE1099R	10049998; 1606923	EC:3.1.6.2
RE1100G	10049998; 1606923	EC:3.1.6.2
RE1100L	10049998; 1606923	EC:3.1.6.2
RE1134M	10049998; 7578007	EC:2.4.1.17
RE1135G	10049998; 1606923	EC:3.1.6.2
RE1135L	10049998; 1606923	EC:3.1.6.2
RE1233M	10756023	EC:2.6.1.7
RE1309M	11012668	EC:3.4.24.16
RE1342C	9537432	EC:1.1.1.21
RE1447M	11756679; 7556092; 7567999; 9295334; 9356448	EC:3.1.3.66
RE1447N	11756679; 7556092; 7567999; 9295334; 9356448	EC:3.1.3.66
RE1448N	7556092; 9367831	EC:3.1.3.67
RE1514M	10479480; 10675551; 11707336; 9784915	EC:6.2.1.3
RE1514X	10479480; 10675551; 11707336; 9784915	EC:6.2.1.3
RE1516X	10407780; 11356167; 8973539	EC:1.3.99.13
RE1517X	10407780; 11356167; 8973539	EC:1.3.99.13
RE1518X	10407780; 11356167; 8973539	EC:1.3.99.13
RE1519X	10407780; 11356167; 8973539	EC:1.3.99.13
RE1525C	10407780; 7775433	EC:1.1.1.35
RE1526C	11451959	EC:1.1.1.35
RE1527C	11451959	EC:1.1.1.35
RE1711M	10336614	EC:1.1.1.1
RE1796C	10599696; 11067870; 11454857; 1401999	EC:5.3.3.1
RE1796M	10599696; 11067870; 11454857; 1401999	EC:5.3.3.1
RE1804C	9660774	EC:1.5.3.11
RE1804M	9660774	EC:1.5.3.11
RE1806C	10706592; 11454857; 9931427	EC:1.14.13.67
RE1807C	9660774	EC:5.3.3.8
RE1807M	9660774	EC:1.14.13.67
RE1809C	10706592; 11454857; 9931427	EC:1.14.13.67
RE1810M	11454857	EC:1.1.1.50
RE1811C	10706592; 11454857; 9931427	EC:1.14.13.67
RE1812C	10706592; 11454857; 9931427	EC:1.14.13.67
RE1826C	11454857	EC:1.1.1.1
RE1826M	11454857	EC:5.3.3.1
RE1827C	9660774	EC:5.3.3.1
RE1828C	9660774	
RE1829C	9660774	
RE1830C	9660774	EC:1.14.13.67
RE1835M	10817395; 10944470; 11454857; 11673457	EC:3.1.2.2
RE1836C	10706581	EC:2.3.1.154
RE1836M	10706581	EC:2.3.1.154
RE1836X	10706581	EC:2.3.1.154
RE1860E	12225906	EC:3.1.4.37
RE1905C	9647871	EC:2.5.1.18
RE1906C	9647871	EC:2.5.1.18
RE1916X	10903891	EC:2.5.1.18
RE1957G	10231032; 10358929; 11493657; 9211928	EC:2.7.1.68
RE1957R	10231032; 10358929; 11493657; 9211928	EC:2.7.1.68
RE2048N	11323741; 9870464	EC:1.13.11.34
RE2050R	12244105	EC:1.14.99.1
RE2051G	11641243	EC:3.1.3.4
RE2051R	11641243	EC:3.1.3.4
RE2078M	10200320; 234423	
RE2146C	10702251	EC:2.4.1.17
RE2152C	9647871	EC:1.14.99.1
RE2155R	12376740	EC:1.14.99.10
RE2202C	10852960; 11756445	
RE2203C	10852960; 11756445	
RE2221C	11254748; 12581873	
RE2221M	11254748; 12581873	
RE2250C	9647871	EC:2.1.1.6
RE2269E	1800960	EC:3.4.21.39
RE2270E	1800960	EC:3.4.17.1
RE2272L	12038963	EC:3.4.14.9
RE2273E	1309362	EC:3.4.17.1
RE2296X	10903891; 9164836	EC:2.5.1.18
RE2327C	9223282	EC:1.14.99.10
RE2349M	10559215; 8908429	EC:2.6.1.7
RE2375C	10385606	EC:1.14.14.1
RE2377C	10385606	
RE2404R	10191290	EC:2.4.1.17
RE2405R	10191290	EC:2.4.1.17
RE2410N	11111101	EC:1.3.1.21
RE2426C	12044950	EC:3.4.21.59
RE2439C	12044950	EC:2.5.1.18
RE2443M	10409626	EC:2.5.1.18
RE2444C	10440096	EC:2.5.1.18
RE2445E	11244003	EC:3.4.15.1
RE2452C	7642543	
RE2474C	9586962	EC:1.14.13.67
RE2474R	9586962	EC:1.14.13.67
RE2493C	10377254	EC:2.1.1.13
RE2513E	10753880	EC:1.11.1.7
RE2513L	10753880	EC:1.11.1.7
RE2513N	10753880	EC:1.11.1.7
RE2514E	9450756	EC:1.11.1.7
RE2514L	9450756	EC:1.11.1.7
RE2514N	9450756	EC:1.11.1.7
